County,REGION,Total CPAD Acreage,ACR_NORM_1,CPAD Acres per 1000 inhabitants
Alameda,Bay Area,476565,0.24,0.08
Alpine,Sierras,474266,0.94,367.60
Amador,Sierras,387827,0.25,2.74
Butte,Sierras,1073263,0.21,1.10
Calaveras,Sierras,662840,0.22,3.65
Yolo,Central Valley,653450,0.10,0.37
Contra Costa,Bay Area,481394,0.28,0.14
Del Norte,North Coast,648861,0.76,18.01
El Dorado,Sierras,1144947,0.49,3.56
Fresno,San Joaquin Valley,3850607,0.40,1.93
Glenn,Central Valley,849132,0.31,9.83
Humboldt,North Coast,2293951,0.26,4.72
Imperial,Southern California,2868458,0.55,11.05
Inyo,Sierras,6546558,0.92,334.50
Kern,San Joaquin Valley,5221435,0.25,2.01
Kings,San Joaquin Valley,890800,0.01,0.08
Lassen,Sierras,3021450,0.59,52.27
Los Angeles,Southern California,2611372,0.34,0.09
Madera,San Joaquin Valley,1377575,0.37,4.19
Marin,Bay Area,336285,0.48,0.66
Mariposa,San Joaquin Valley,935607,0.53,28.97
Mendocino,North Coast,2247878,0.21,5.39
Merced,San Joaquin Valley,1261432,0.09,0.53
Modoc,Sierras,2689712,0.64,181.86
Mono,Sierras,2003703,0.93,144.84
Monterey,Central Coast,2121212,0.22,1.15
Napa,Bay Area,505857,0.26,1.04
Nevada,Sierras,623852,0.37,2.51
Orange,Southern California,508921,0.27,0.05
Placer,Sierras,960108,0.43,1.67
Plumas,Sierras,1672709,0.72,57.65
Riverside,Southern California,4673122,0.61,1.85
Sacramento,Central Valley,636078,0.11,0.06
San Benito,Central Coast,889408,0.13,2.14
San Bernardino,Southern California,12867927,0.67,5.04
San Diego,Southern California,2712151,0.49,0.48
San Francisco,Bay Area,30238,0.19,0.01
San Joaquin,San Joaquin Valley,912595,0.02,0.03
San Luis Obispo,Central Coast,2124267,0.25,2.16
San Mateo,Bay Area,290479,0.38,0.16
Santa Clara,Bay Area,831659,0.25,0.12
Santa Cruz,Central Coast,285713,0.30,0.33
Shasta,Northern California,2465233,0.41,6.22
Sierra,Sierras,615316,0.73,126.92
Siskiyou,Northern California,4062266,0.63,57.87
Solano,Bay Area,544111,0.11,0.16
Sonoma,Bay Area,1016737,0.14,0.31
Stanislaus,San Joaquin Valley,970173,0.09,0.19
Sutter,Central Valley,389436,0.04,0.17
Tehama,Northern California,1892926,0.29,9.75
Trinity,Northern California,2052766,0.76,119.97
Tulare,San Joaquin Valley,3099338,0.50,4.23
Tuolumne,San Joaquin Valley,1457657,0.75,20.18
Colusa,Central Valley,740383,0.17,6.82
Yuba,Central Valley,411821,0.19,1.33
Ventura,Central Coast,1189161,0.54,0.85
Santa Barbara,Central Coast,1760915,0.46,2.01
Lake, Central Valley,850980,0.47,6.89
